0,45,90,135,180,225,270,315,date
7800.0,6300.0,3300.0,3500.0,5900.0,4900.0,9000.0,14500.0,2019-11-04 14:50:00
14600.0,8900.0,7800.0,6800.0,5900.0,4900.0,9000.0,11700.0,2019-11-04 15:20:00
14600.0,960.0,7800.0,6800.0,5900.0,7900.0,10400.0,11700.0,2019-11-04 15:50:00
,,,,,,,,2019-11-05 05:20:00
,,,,,,,,2019-11-05 05:50:00
18000.0,30700.0,16700.0,6800.0,15800.0,7900.0,10400.0,20900.0,2019-11-05 06:20:00
19500.0,30700.0,16700.0,6800.0,15800.0,7900.0,10400.0,20900.0,2019-11-05 06:50:00
14600.0,30700.0,28100.0,6800.0,15800.0,7900.0,10400.0,20900.0,2019-11-05 07:20:00
14600.0,30700.0,28100.0,6800.0,15800.0,7900.0,10400.0,17500.0,2019-11-05 07:50:00
14600.0,30700.0,16700.0,6800.0,15800.0,7900.0,10400.0,17500.0,2019-11-05 08:20:00
14600.0,30700.0,28100.0,6800.0,5900.0,7900.0,10400.0,17500.0,2019-11-05 08:50:00
3800.0,8900.0,7800.0,6800.0,5900.0,7900.0,9000.0,7600.0,2019-11-05 09:20:00
3800.0,8900.0,7800.0,4200.0,5900.0,3800.0,9000.0,3800.0,2019-11-05 09:50:00
3800.0,2900.0,3300.0,4200.0,5500.0,4500.0,9000.0,3800.0,2019-11-05 10:20:00
3800.0,8900.0,7800.0,4200.0,4700.0,7900.0,4600.0,2000.0,2019-11-05 10:50:00
3800.0,2900.0,3300.0,3500.0,5900.0,7900.0,4600.0,3800.0,2019-11-05 11:20:00
3800.0,2900.0,2300.0,3500.0,1700.0,4500.0,4600.0,3800.0,2019-11-05 11:50:00
3800.0,2900.0,3300.0,3500.0,4700.0,4900.0,6500.0,3800.0,2019-11-05 12:20:00
2100.0,1900.0,5500.0,3500.0,5500.0,7900.0,4600.0,3800.0,2019-11-05 12:50:00
8000.0,6300.0,5500.0,3500.0,4700.0,3800.0,4600.0,8900.0,2019-11-05 13:20:00
3800.0,2900.0,5500.0,3500.0,4700.0,3800.0,4600.0,3800.0,2019-11-05 13:50:00
3800.0,8900.0,7800.0,3500.0,1700.0,3800.0,6500.0,3800.0,2019-11-05 14:20:00
3800.0,2900.0,3300.0,4200.0,4700.0,3800.0,4600.0,2000.0,2019-11-05 14:50:00
660.0,1900.0,2300.0,4200.0,5900.0,4500.0,4600.0,2000.0,2019-11-05 15:20:00
3800.0,960.0,2700.0,3500.0,1700.0,2900.0,4600.0,2000.0,2019-11-05 15:50:00
,,,,,,,,2019-11-06 05:20:00
,,,,,,,,2019-11-06 05:50:00
1500.0,2900.0,5500.0,4200.0,1700.0,2900.0,2400.0,3800.0,2019-11-06 06:20:00
3800.0,8900.0,7800.0,4200.0,5900.0,4900.0,10400.0,7600.0,2019-11-06 06:50:00
3800.0,8900.0,7800.0,4200.0,1700.0,4500.0,6500.0,3800.0,2019-11-06 07:20:00
3800.0,8900.0,16700.0,6800.0,5900.0,7900.0,10400.0,10500.0,2019-11-06 07:50:00
3800.0,8900.0,16700.0,6800.0,15800.0,7900.0,10400.0,3800.0,2019-11-06 08:20:00
3800.0,8900.0,16700.0,6800.0,15800.0,7900.0,10400.0,3800.0,2019-11-06 08:50:00
3800.0,8900.0,22600.0,6800.0,15800.0,7900.0,10400.0,3800.0,2019-11-06 09:20:00
3800.0,8900.0,22600.0,6800.0,15800.0,7900.0,10400.0,8900.0,2019-11-06 09:50:00
3800.0,8900.0,16700.0,6800.0,15800.0,7900.0,10400.0,10500.0,2019-11-06 10:20:00
7800.0,8900.0,16700.0,6800.0,15800.0,7900.0,10400.0,14500.0,2019-11-06 10:50:00
8000.0,8900.0,22600.0,6800.0,15800.0,7900.0,10400.0,10500.0,2019-11-06 11:20:00
8000.0,8900.0,16700.0,6800.0,15800.0,7900.0,10400.0,14500.0,2019-11-06 11:50:00
19500.0,8900.0,28100.0,6800.0,15800.0,7900.0,10400.0,14500.0,2019-11-06 12:20:00
19500.0,30700.0,28100.0,6800.0,15800.0,4900.0,10400.0,17500.0,2019-11-06 12:50:00
19500.0,8900.0,28100.0,6800.0,15800.0,7900.0,10400.0,20900.0,2019-11-06 13:20:00
19500.0,30700.0,28100.0,6800.0,15800.0,7900.0,10400.0,20900.0,2019-11-06 13:50:00
19500.0,30700.0,28100.0,6800.0,15800.0,7900.0,10400.0,20900.0,2019-11-06 14:20:00
19500.0,30700.0,28100.0,6800.0,15800.0,7900.0,10400.0,20900.0,2019-11-06 14:50:00
19500.0,30700.0,28100.0,6800.0,15800.0,7900.0,10400.0,20900.0,2019-11-06 15:20:00
14600.0,610.0,5500.0,6800.0,5900.0,7900.0,6500.0,20900.0,2019-11-06 15:50:00
,,,,,,,,2019-11-07 05:20:00
,,,,,,,,2019-11-07 05:50:00
3800.0,8900.0,7800.0,4200.0,5900.0,7900.0,7500.0,3800.0,2019-11-07 06:20:00
8000.0,2900.0,5500.0,6800.0,15800.0,7900.0,10400.0,10500.0,2019-11-07 06:50:00
8000.0,2900.0,5500.0,6800.0,15800.0,7900.0,10400.0,8900.0,2019-11-07 07:20:00
13400.0,2900.0,5500.0,6800.0,15800.0,7900.0,7500.0,3800.0,2019-11-07 07:50:00
13400.0,6300.0,5500.0,4200.0,5900.0,3800.0,10400.0,3800.0,2019-11-07 08:20:00
3800.0,6300.0,3300.0,4200.0,5900.0,3800.0,4600.0,3800.0,2019-11-07 08:50:00
3800.0,2900.0,3300.0,3500.0,1700.0,3800.0,4600.0,3800.0,2019-11-07 09:20:00
3800.0,2900.0,3300.0,4200.0,5900.0,3800.0,4600.0,3800.0,2019-11-07 09:50:00
3800.0,6300.0,3300.0,4200.0,1700.0,3800.0,10400.0,3800.0,2019-11-07 10:20:00
13400.0,6300.0,3300.0,4200.0,5900.0,7900.0,10400.0,17500.0,2019-11-07 10:50:00
3800.0,2900.0,3300.0,4200.0,1700.0,4900.0,9000.0,14500.0,2019-11-07 11:20:00
8000.0,6300.0,22600.0,4200.0,5500.0,7900.0,10400.0,17500.0,2019-11-07 11:50:00
7800.0,2900.0,5500.0,6800.0,5900.0,7900.0,10400.0,14500.0,2019-11-07 12:20:00
3800.0,30700.0,28100.0,6800.0,5900.0,7900.0,10400.0,14500.0,2019-11-07 12:50:00
3800.0,30700.0,28100.0,6800.0,5900.0,7900.0,10400.0,14500.0,2019-11-07 13:20:00
3800.0,8900.0,7800.0,6800.0,15800.0,7900.0,10400.0,14500.0,2019-11-07 13:50:00
7800.0,8900.0,7800.0,6800.0,15800.0,7900.0,10400.0,10500.0,2019-11-07 14:20:00
8000.0,30700.0,28100.0,6800.0,15800.0,7900.0,10400.0,14500.0,2019-11-07 14:50:00
14600.0,30700.0,28100.0,6800.0,15800.0,7900.0,10400.0,14500.0,2019-11-07 15:20:00
