date,direction,visibility,arrows_code
201912101320,90,28100,1111111111111111111
201912101320,135,6800,11111111
201912101320,180,15800,111111111111111
201912101320,225,7900,111111111
201912101320,270,10400,11111111111111111111111
201912101320,315,8900,00000011111111111111
201912101350,0,18000,01101111111111111
201912101350,45,8900,01111111111111111111
201912101350,90,28100,1111111111111111111
201912101350,135,6800,11111111
201912101350,180,15800,111111111111111
201912101350,225,7900,111111111
201912101350,270,10400,11111111111111111111111
201912101350,315,13200,00011111111111111111
201912190720,0,133,00000000000000011
201912190720,45,123,00000000000000000111
201912190720,90,104,0000000000000000011
201912190720,135,109,00000001
201912190720,180,75,000000000000001
201912190720,225,70,000000001
201912190720,270,185,00000000000000000111111
201912190720,315,160,00000000000000000011
201912101420,0,18000,01100111111111111
201912101420,45,30700,11111111111111111111
201912101420,90,28100,1111111111111111111
201912101420,135,6800,11111111
201912101420,180,15800,111111111111111
201912101420,225,7900,111111111
201912101420,270,10400,11111111111111111111111
201912101420,315,13600,00111111111111111111
201912101450,0,19500,11101111111111111
201912101450,45,30700,11111111111111111111
201912101450,90,28100,1111111111111111111
201912101450,135,6800,11111111
201912101450,180,15800,111111111111111
201912101450,225,7900,111111111
201912101450,270,10400,11111111111111111111111
201912101450,315,20900,11111111111111111111
201912110750,0,19500,11000111111111111
201912110750,45,30700,11111111111111111111
201912110750,90,28100,1111111111111111111
201912110750,135,6800,11111111
201912110750,180,15800,111111111111111
201912110750,225,7900,111111111
201912110750,270,10400,11111111111111111111111
201912110750,315,10500,00000111111111111111
201912110850,0,19500,10000111111111111
201912110850,45,30700,11111111111111111111
201912110850,90,28100,1111111111111111111
201912110850,135,6800,11111111
201912110850,180,15800,111111111111111
201912110850,225,7900,111111111
201912110850,270,10400,11111111111111111111111
201912110850,315,10500,00000111111111111111
201912121020,0,19500,11010111111111111
201912121020,45,8900,01111111111111111111
201912121020,90,22600,0111111111111111111
201912121020,135,6800,11111111
201912121020,180,15800,111111111111111
201912121020,225,7900,111111111
201912121020,270,10400,11111111111111111111111
201912121020,315,17500,01000111111111111111
201912121220,0,19500,10011111111111111
201912121220,45,8900,01111111111111111111
201912121220,90,28100,1111111111111111111
201912121220,135,6800,11111111
201912121220,180,15800,111111111111111
201912121220,225,7900,111111111
201912121220,270,10400,11111111111111111111111
201912121220,315,17500,01001111111111111111
201912161420,0,19500,11111111111111111
201912161420,45,30700,11111111111111111111
201912161420,90,28100,1111111111111111111
201912161420,135,6800,11111111
201912161420,180,15800,111111111111111
201912161420,225,7900,111111111
201912161420,270,10400,11111111111111111111111
201912161420,315,20900,11111111111111111111
201912170750,0,18000,01111111111111111
201912170750,45,8900,01111111111111111111
201912170750,90,22600,0111111111111111111
201912170750,135,6800,11111111
201912170750,180,15800,111111111111111
201912170750,225,7900,111111111
201912170750,270,10400,11111111111111111111111
201912170750,315,20900,11111111111111111111
201912170820,0,19500,11111111111111111
201912170820,45,30700,11111111111111111111
201912170820,90,28100,1111111111111111111
201912170820,135,6800,11111111
201912170820,180,15800,111111111111111
201912170820,225,7900,111111111
201912170820,270,10400,11111111111111111111111
201912170820,315,20900,11111111111111111111
201912170920,0,18000,01111111111111111
201912170920,45,30700,11111111111111111111
201912170920,90,28100,1111111111111111111
201912170920,135,6800,11111111
201912170920,180,15800,111111111111111
201912170920,225,7900,111111111
201912170920,270,10400,11111111111111111111111
201912170920,315,20900,11111111111111111111
201912041350,0,19500,11111111111111111
201912041350,45,30700,11111111111111111111
201912041350,90,28100,1111111111111111111
201912041350,135,6800,11111111
201912041350,180,15800,111111111111111
201912041350,225,7900,111111111
201912041350,270,10400,11111111111111111111111
201912041350,315,20900,11111111111111111111
201912041420,0,19500,11111111111111111
201912041420,45,30700,11111111111111111111
201912041420,90,28100,1111111111111111111
201912041420,135,6800,11111111
201912041420,180,15800,111111111111111
201912041420,225,7900,111111111
201912041420,270,10400,11111111111111111111111
201912041420,315,20900,11111111111111111111
201912041520,0,18000,01111111111111111
201912041520,45,8900,01111111111111111111
201912041520,90,28100,1111111111111111111
201912041520,135,6800,11111111
201912041520,180,15800,111111111111111
201912041520,225,7900,111111111
201912041520,270,10400,11111111111111111111111
201912041520,315,20900,11111111111111111111
201912050720,0,19500,11111111111111111
201912050720,45,30700,11111111111111111111
201912050720,90,28100,1101111111111111111
201912050720,135,6800,11111111
201912050720,180,15800,111111111111111
201912050720,225,7900,111111111
201912050720,270,10400,11111111111111111111111
201912050720,315,20900,11111111111111111111
201912050750,0,19500,11111111111111111
201912050750,45,30700,11111111111111111111
201912050750,90,28100,1111111111111111111
201912050750,135,6800,11111111
201912050750,180,15800,111111111111111
201912050750,225,7900,111111111
201912050750,270,10400,11111111111111111111111
201912050750,315,20900,11111111111111111111
201912050820,0,19500,11111111111111111
201912050820,45,30700,11111111111111111111
201912050820,90,28100,1111111111111111111
201912050820,135,6800,11111111
201912050820,180,15800,111111111111111
201912050820,225,7900,111111111
201912050820,270,10400,11111111111111111111111
201912050820,315,20900,11111111111111111111
201912050850,0,19500,11111111111111111
201912050850,45,30700,11111111111111111111
201912050850,90,28100,1111111111111111111
201912050850,135,6800,11111111
201912050850,180,15800,111111111111111
201912050850,225,7900,111111111
201912050850,270,10400,11111111111111111111111
201912050850,315,20900,11111111111111111111
201912050920,0,19500,11111111111111111
201912050920,45,30700,11111111111111111111
201912050920,90,28100,1111111111111111111
201912050920,135,6800,11111111
201912050920,180,15800,111111111111111
201912050920,225,7900,111111111
201912050920,270,10400,11111111111111111111111
201912050920,315,20900,11111111111111111111
